,date,loc nn,loc pc,scale nn,scale pc
0,0924,-0.000337251,2.7032318569987608e-05,0.0015630497,0.007550150965649774
1,1001,-0.000337251,2.7032318569987608e-05,0.0015630497,0.007550150965649774
2,1007,-0.000337251,2.7032318569987608e-05,0.0015630497,0.007550150965649774
3,1014,-0.000337251,2.7032318569987608e-05,0.0015630497,0.007550150965649774
4,1029,-0.000337251,2.7032318569987608e-05,0.0015630497,0.007550150965649774
5,1111,-0.000337251,2.7032318569987608e-05,0.0015630497,0.007550150965649774
6,1123,-0.000337251,2.7032318569987608e-05,0.0015630497,0.007550150965649774
7,1125,-0.000337251,2.7032318569987608e-05,0.0015630497,0.007550150965649774
8,1126,-0.000337251,2.7032318569987608e-05,0.0015630497,0.007550150965649774
9,1129,-0.000337251,2.7032318569987608e-05,0.0015630497,0.007550150965649774
10,1130,-0.000337251,2.7032318569987608e-05,0.0015630497,0.007550150965649774
11,1202,-0.000337251,2.7032318569987608e-05,0.0015630497,0.007550150965649774
